synthetic_idx,real_idx,nn_distance
387,63,12.594456672668457
277,18,12.616758346557617
129,18,12.633418083190918
57,63,12.671111106872559
453,18,12.685114860534668
132,18,12.772623062133789
406,18,12.774707794189453
435,63,12.800917625427246
110,63,12.838756561279297
295,18,12.854666709899902
116,63,12.860427856445312
472,18,12.87320327758789
70,18,12.882611274719238
22,18,12.898883819580078
163,63,12.93259048461914
144,18,12.937082290649414
491,18,12.98109245300293
480,18,13.004045486450195
413,18,13.006014823913574
417,18,13.006623268127441
